submission_date,STATE,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
4/14/21,New York,1078165,,,3298,0,19098,,,24,0,4/15/21 13:58,Not agree,Not agree
4/14/21,West Virginia,147203,116115,31088,413,128,2756,,,9,1,4/15/21 13:58,Agree,Not agree
4/14/21,South Dakota,120379,,,225,58,1948,1586,362,1,1,4/15/21 13:58,N/A,Agree
4/14/21,Ohio,1045945,882363,163582,2216,751,18917,18917,0,0,0,4/15/21 13:58,Agree,Agree
4/14/21,Hawaii,29984,,,67,0,470,,,2,0,4/15/21 13:58,Not agree,Not agree
4/14/21,Florida,2101365,,,6695,2667,34164,,,44,4,4/15/21 13:58,Not agree,Not agree
4/14/21,Iowa,358395,,,656,143,5857,,,0,0,4/15/21 13:58,Not agree,Not agree
4/14/21,New Mexico,194378,,,214,0,3996,,,8,0,4/15/21 13:58,N/A,Not agree
4/14/21,Utah,391177,391177,0,530,0,2161,2100,61,0,0,4/15/21 13:58,Agree,Agree
4/14/21,Georgia,1078379,864895,213484,1735,654,19600,17072,2528,52,13,4/15/21 13:58,Agree,Agree
4/14/21,Arkansas,332666,,,220,89,5680,,,7,5,4/15/21 13:58,Not agree,Not agree
4/14/21,Tennessee,827579,685081,142498,1208,288,12032,9654,2378,10,4,4/15/21 13:58,Agree,Agree
4/14/21,Texas,2830228,,,3262,995,48341,,,68,0,4/15/21 13:58,Not agree,Not agree
4/14/21,North Dakota,105380,97981,7399,165,86,1475,,,1,0,4/15/21 13:58,Agree,Not agree
4/14/21,Nebraska,215074,,,392,0,2226,,,0,0,4/15/21 13:58,Not agree,Not agree
4/14/21,Idaho,184347,147950,36397,437,101,2006,1747,259,6,1,4/15/21 13:58,Agree,Agree
4/14/21,Indiana,701971,,,1196,0,13187,12782,405,20,0,4/15/21 13:58,Not agree,Agree
4/14/21,Rhode Island,143251,,,477,0,2642,,,2,0,4/15/21 13:58,Not agree,N/A
4/14/21,Connecticut,327298,301324,25974,1609,193,7984,6568,1416,10,0,4/15/21 13:58,Agree,Agree
4/14/21,Delaware,99515,93154,6361,380,78,1591,1451,140,4,1,4/15/21 13:58,Agree,Agree
4/14/21,New Hampshire,89983,,,378,0,1261,,,4,0,4/15/21 13:58,Not agree,Not agree
4/14/21,Maryland,431795,,,1444,0,8512,8326,186,19,0,4/15/21 13:58,N/A,Agree
4/14/21,Oregon,172206,172206,0,808,0,2449,2449,0,3,0,4/15/21 13:58,Agree,Agree
4/14/21,North Carolina,938784,807504,131280,2359,795,12325,10880,1445,20,4,4/15/21 13:58,Agree,Agree
4/14/21,Washington,380339,,,1256,229,5357,,,17,0,4/15/21 13:58,N/A,N/A
4/14/21,Alabama,520780,404401,116379,277,70,10728,8446,2282,6,2,4/15/21 13:58,Agree,Agree
4/14/21,Arizona,851265,790076,61189,419,80,17109,15182,1927,4,-1,4/15/21 13:58,Agree,Agree
4/14/21,New Jersey,963484,845201,118283,3563,770,25006,22414,2592,61,19,4/15/21 13:58,Agree,Agree
4/14/21,Wisconsin,648094,587561,60533,1003,74,7402,6695,707,8,3,4/15/21 13:58,Agree,Agree
4/13/21,Minnesota,545404,,,1358,141,7040,6577,463,3,0,4/14/21 14:34,N/A,Agree
4/13/21,Missouri,575493,,,707,290,8625,,,3,0,4/14/21 10:34,Not agree,Not agree
4/13/21,North Carolina,936425,805940,130485,1364,468,12305,10864,1441,15,4,4/14/21 14:34,Agree,Agree
4/13/21,Wyoming,57070,48287,8783,82,24,703,703,0,2,0,4/14/21 14:34,Agree,Agree
4/13/21,Virginia,640211,498643,141568,1301,498,10510,8815,1695,4,0,4/14/21 14:34,Agree,Agree
4/13/21,Mississippi,308111,188633,119478,275,149,7122,4922,2200,0,0,4/14/21 14:34,Agree,Agree
